t,h,label,relatedness_score,sentence_h_en,sentence_t_en
 يمور معلقة على حبل,رجل دهن بالزبد قطعة من الخبز,0,1.0,A man is buttering a slice of bread,A lemur is hanging on a cord
الشخص يلعب على الغيتار,الرجل يعزف على الغيتار,1,4.5,The man is playing the guitar,The person is playing the guitar
كلب ذو معطف بني وأبيض يهرول في المياه الضحلة,كلب ذو معطف بني وأبيض يجلس في المياه الضحلة,0,4.1,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water
يتسلق شخص صخرة بحبل لونه وردي,شخص يقف أمام صخرة بحبل,0,3.9,"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink"
والفهد يركض بسرعة وراء فريسته.,والفهد يركض بسرعة وراء فريسته.,1,4.6,A cheetah is quickly running behind its prey.,The cheetah is running quickly behind its prey
لا توجد مجموعة من كلاب السباق يرتدون زيا مخططا ويسيرون في مضمار السباق,مجموعة من كلاب السباق ترتدي زيا مخططا وتجري في مضمار,2,4.0,A group of racing dogs is wearing striped uniforms and is running down a track,There is no group of racing dogs wearing striped uniforms and running down a track
رجل يلعب يغمس كرة السلة في الشبكة ويوجد حشد في الخلفية,رجل يرتدي قميصًا يغمس الكرة في مباراة كرة سلة,0,3.6,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background
راكب الأمواج يركب الموجة,راكب أمواج يركب الموجة,1,4.8,A surfer is riding the wave,The wave is being ridden by a surfer
المرأة تقشر  البطاطا,امرأة  لم تقطع الطماطم,0,3.3,A woman is slicing a tomato,The woman is peeling a potato
طفل يسرع في انحدار شديد الانحدار,صبي يسرع في انحدار شديد الانحدار,1,4.8,A boy is speeding down a steep slide,A kid is speeding down a steep slide
الرجل دفع الفواتير,الرجل لم يدفع الفواتير,2,3.6,A person is not holding a skunk,A person is holding a skunk
وهناك لاعب كرة قدم سجل هدفا,بعض الناس الذين يلعبون كرة القدم يركلون كرة القدم داخل المرمى,0,4.1,Some people who play soccer are kicking a soccer ball into the goal,A soccer player is scoring a goal
امرأة ترتدي غطاء رأس مصري,امرأة سوداء وترتدي نظارات و غطاء رأس,0,3.6,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress
صبي يرتدي قبعة بيضاء ويركض على الشاطئ,صبي يرتدي قبعة ويمشي في الرمال الرطبة,0,4.3,A boy is wearing a hat and is walking in the wet sand,A boy is wearing a white hat and is running on the beach
رجل يكتب على لوحة المفاتيح الإلكترونية,وليس هناك رجل يعزف على الفلوت,0,2.0,There is no man playing a flute,A man is playing an electronic keyboard
الرجل الذي لا يعزف على الفلوت,رجل يعزف على الغيتار,0,3.065,A man is playing the guitar,The man in not playing the flute
رمي راعي البقر الذي يرتدي البنطال الأزرق والأحمر من قبل حصان,حصان يقذف راعي البقر مرتديًا سروالًا أزرق وأحمر,1,4.9,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy in blue and red pants is being tossed by a horse
كلب يجري في حقل ويطارد كرة,كلب يركض نحو كرة,2,2.6,A dog is not running towards a ball,A dog is running through a field and is chasing a ball
الكلب يستريح في الحديقة,يرقد كلب صغير مرقط بني وأبيض على سترة في الشارع,0,3.0,A small brown and white spotted dog is lying on a jacket on the street,The dog is having a rest in the park
يقوم الرجل برش معتاد على الثمالة في فم الكلب,رجل يصب الماء في فم كلب أبيض بمسدس رش,0,4.2,A man is squirting water into the mouth of a white dog with a squirt gun,The man is spraying a super soaker into the mouth of the dog
امرأة ترتدي ملابس بلون وردي  تركب الدراجة  أسفل جسر للمشاة ,امرأة ترتدي ملابس بلون وردي  تركب الدراجة  أسفل جسر للمشاة ,1,4.3,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians
امرأة ترقص ورجل يكتب على لوحة المفاتيح,امرأة ترقص برشاقة على المسرح,0,3.7,A woman is gracefully dancing on a stage,A woman is dancing and a man is playing the keyboard
المرأة التي ترتدي زيًا أحمر لا تتكئ على جدار من الطوب ولا تعزف على آلة موسيقية,المرأة التي ترتدي زيًا أحمر تتكئ على جدار من الطوب وتعزف على آلة موسيقية,2,3.2,The woman in a red costume is leaning against a brick wall and playing an instrument,The woman in a red costume is not leaning against a brick wall and is not playing an instrument
امرأة ترتدي قبعة من الفرو ومعطف من الفرو تجلس خارج مبنى,السيدة المسنة تنتظر على الرصيف,0,2.4,The elderly lady is waiting on the sidewalk,A woman in a fur hat and fur coat is sitting outside a building
فتاة ترتدي سترة زرقاء تحمل لعبة متعددة الألوان وتجلس على أكتاف امرأة ذات شعر رمادي,فتاة شرقية شابة تقف فوق الحشد وتلعب بالمروحة,0,2.6,A young oriental girl is standing above the crowd and is playing with a pinwheel,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair
لا يوجد دراج بارد يحتفل,دراج بارد يحتفل,2,4.0,A cold cyclist is celebrating,There is no cold cyclist celebrating
  طائرة تهبط على الارض,الطائرة جنوب أفريقيا تطير في السماء الزرقاء,0,2.3,The south African plane is flying in a blue sky,An airplane is being stationed on the ground
الرجل يكسر البيض في وعاء,سيدة تأخذ بيضة من وعاء,0,2.9,The lady is taking an egg out of a bowl,The man is cracking eggs into a bowl
 مسافر يرقص على قمة الجبل فرحاَ,رجل يقف أعلى صخرة فوق بعض الأشجار بوضع غير مريح,0,2.9,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance
امرأة تتحدث على هاتفها الخلوي وتحتفظ بمحفظة وحقيبة صفراء على الحافة القريبة,امرأة تتحدث بصوت عالٍ على هاتفها الخلوي وتحتفظ بمحفظة وحقيبة صفراء على الحافة القريبة,0,2.8,A woman in a shirt dyed in black is sitting next to a fluorescent green bag,A woman is speaking on her cell phone and is keeping a purse and a yellow bag on the near ledge
ينزل الرجل من دراجة نارية على الأرض القاحلة في الغالب,رجل يرتدي بذلة زرقاء يؤدي بشجاعة حركة بهلوانية بالدراجة على دراجة نارية,0,3.5,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,The man is getting off a motorcycle onto ground which is mostly barren
راكب دراجة يضع دراجة فوق رأسه في مجموعة من الأشخاص,شيء يحتفل به راكب دراجة بارد,0,3.2,Something is being celebrated by a cold cyclist,A bicyclist is holding a bike over his head in a group of people
رجل يرتدي قميصًا أبيض ونظارة شمسية ورجل يرتدي قميصًا أسود ونظارة شمسية يجلس على طاولة مع أربع زجاجات بيرة,رجل يرتدي قميصًا أبيض ونظارة شمسية ورجل يرتدي قميصًا أسود ونظارة شمسية يجلس على طاولة مع أربع زجاجات من البيرة,1,4.9,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles
رجل يركب دراجة نارية,الرجال لا يلعبون كرة القدم,0,1.5,The men are not playing soccer,A man is riding a motorcycle
الجمهور يشاهد مباراة كرة قدم,تقف مجموعة من لاعبي كرة القدم ثابتة في الملعب,0,2.6,A group of football players is standing still in the field,The crowd is watching a football game
ليس هناك رجل يتحدث على المنصة,رجل يتحدث على المنصة,2,3.0,A man is speaking on a podium,There is no man speaking on a podium
صبي يعزف على البيانو,لا يوجد رجل يغني ويعزف على الجيتار,0,2.2,There is no man singing and playing a guitar,A boy is playing a piano
المؤدي بالملابس يغني والناس يرقصون,مهرج يغني والناس يرقصون,1,4.2,A clown is singing and people are dancing,A costumed performer is singing and people are dancing
أب يدفع ابنته نحو المسبح,أب يدفع ابنته نحو المسبح,1,4.8,A dad is launching his daughter into a swimming pool,A father is launching the daughter in a swimming pool
الحشد لا يشاهد مباراة كرة قدم,الجمهور يشاهد مباراة كرة قدم,2,4.2,The crowd is watching a football game,The crowd is not watching a football game
شخص في زي موتوكروس يرتدي خوذة ويركب دراجة نارية حمراء,رجل في زي موتوكروس يرتدي خوذة ويركب دراجة نارية حمراء,1,4.8,A man in a motocross uniform is wearing a helmet and rides a red motorcycle,A person in a motocross uniform is wearing a helmet and rides a red motorcycle
رجل يعزف,رجل يركب الثور الميكانيكي,0,1.0,A man is riding a mechanical bull,A man is playing an instrument
طفل يحمل بخاخ ماء يضحك و يضربه الأولاد الآخرون,طفل يحمل بخاخ ماء يضحك و يرشه بالماء الأولاد الآخرون,0,4.0,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys
رجل يغوص عن صخرة,رجل يركب دراجة نارية,0,1.4,A man is riding a motorcycle,A man is diving off a rock
رجل يضع التوابل على البيتزا,رجل يرش الجبن المبشور على البيتزا,0,3.6,A man is sprinkling shredded cheese on a pizza,A man is putting seasoning on a pizza
الفتاة  تركب الحصان,الحصان تركبه فتاة,1,4.7,The horse is being ridden by the girl,The girl is riding the horse
كلب يسير على طول جرف ثلجي,كلب يلعب بمفرده على شاطئ مغطى بالثلج,0,3.2,A dog is playing alone on a beach covered by snow,A dog is walking along a snowdrift
امرأة شابة عارية الصدر مغطاة بالطلاء ,يتم عزف بعض الآلات بواسطة فرقة موسيقية ,0,1.0,Some instruments are being played by a band,"A young, topless woman is covered in paint"
قطار لعبة ينقصه سيارة لعبة,قطار لعبة يصطدم بسيارة لعبة,2,3.8,A toy train is striking a toy car,A toy train is missing a toy car
قطة يتأرجح على مروحة,يلعب القط على تحريك مروحة في السقف,1,4.635,A cat is playing on a moving ceiling fan,A cat is swinging on a fan
الفتاة الصغيرة التي ترتدي قميصًا مصبوغًا باللون الوردي ترقد بهدوء على العشب,فتاة ترتدي قميصًا ورديًا عليه كتابة بيضاء وترقد على العشب,0,4.1,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a shirt dyed pink is peacefully lying on the grass
امرأة ترتدي قميص ملون والكثير من المجوهرات,امرأة شابة بملابس الهندية والحناء على يدها,0,2.4,A young woman with Indian clothing and henna on her hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry
صبي صغير يغوص في بحيرة ساكنة,الصبي الصغير الذي يرتدي القميص الأزرق يقفز في الماء,0,4.0,The young boy in the blue shirt is jumping into the water,A young boy is diving into a still lake
لا توجد سيدة تقف في الشارع وتحيط بها أطفال المدارس,سيدة تقف في الشارع محاطة بأطفال المدارس,2,2.8,A lady is standing on the street and is surrounded by school children,No lady is standing on the street and is surrounded by school children
ثلاثة رجال ينظرون إلى المسافة,ثلاثة رجال لا يحدقون في التلال الخضراء الكبيرة من بعيد,0,3.6,Three men are not staring at the big green hills in the distance,Three men are looking into the distance
امرأة تضع أصابعها على طاولة,امرأة تنقر بأصابعها على طاولة,0,4.1,A woman is tapping her fingers on a table,A woman is resting her fingers on a table
امرأة تقف لثلاثة رجال لالتقاط صورة,كلب أسود يلعب مع كلب بني على الرمال,0,3.5,A woman and three men are posing for a photo,A woman is posing for three men for a photo
امرأة تغلي المعكرونة في الماء,تقوم امرأة بغلي المعكرونة في الماء,1,5.0,Noodles are being boiled in water by a woman,A woman is boiling noodles in water
اثنين من القطط يقاتلون بعضهم البعض,لا تلعب القطط مع بعضها البعض,0,3.6,The cats are not playing with each other,Two cats are fighting each other
يتم عزف على الناي من قبل رجل,رجل يعزف على الغيتار بصوت عال,0,3.1,A man is playing the guitar loudly,A flute is being played by a man
شخص  يقطع البصل,الشخص يقوم بتقطيع  الجزر إلى قطع,0,2.9,A person is slicing a carrot into pieces,A person is dicing an onion
وفتاة التزلج على أنبوب نصف,رجل يتزلج على أنبوب نصف,0,3.835,A man is skateboarding on a half pipe,A girl is skateboarding on a half pipe
الشرطي  يجلس على دراجة الشرطة,هذا  حيوان  يرعى على العشب,0,1.0,The animal is grazing on the grass,The cop is sitting on a police bike
طفل صغير يزحف في نفق أخضر بابتسامة على وجهه,صبي صغير يرتدي قميصًا مخططًا ينزلق من أنبوب أخضر,0,3.6,A small boy in a striped shirt is sliding out of a green tube,A little boy is crawling in a green tunnel with a smile on his face
صبي صغير يقفز من على كرسي,طفل صغير بشعر بني يقفز عن الكرسي البني على الأرض,1,4.2,One little boy with brown hair is jumping off of the brown chair onto the floor,A young boy is jumping off a chair
طفلة صغيرة تعزف على البيانو,طفلة صغيرة تعزف على البيانو الكبير على المسرح,1,4.4,A little girl is playing a grand piano on stage,A little girl is playing the piano
امرأة تقطع البصل,امرأة قطعت التوفو,0,2.9,A woman is cutting tofu,A woman is chopping onions
يتم لعب الكمان من قبل رجل,رجل يعزف على القيثارة,0,2.7,A man is playing a harp,A violin is being played by a man
رجل واحد يطعم الفأر للثعبان,ثعبان يتغذى على فأر من رجل,1,4.7,The man is operating a stenograph,A man is typing on a machine used for stenography
كلبان أبيضان يلعبان مع كلب بني وكرة,قطتان أبيضتان تلعبان مع كلب بني وكرة,0,3.6,Two white cats are playing with a brown dog and a ball,Two white dogs are playing with a brown dog and a ball
مجموعة من الأطفال في قبو الكنيسة يلعبون الماراكا والدفوف,مجموعة من الأطفال في قبو الكنيسة يعزفون على القيثارات والدفوف,0,4.2,A group of children in a church basement is playing guitars and tambourines,A group of children in a church basement is playing maracas and tambourines
رجل يسير ببطء عبر  جسر من الحبال,رجل يسير ببطء عبر جسر الحبل,1,4.9,A man is walking slowly across a rope bridge,A man is walking slowly across a bridge made of rope
صبي يسير عبر جسر,صبي يسير بخوف عبر جسر,1,4.7,A boy is fearfully walking across a bridge,A boy is walking across a bridge
بعض الناس يجلسون على الأرض خارج نصب تذكاري,مجموعة من الناس يجلسون على الأرض خارج نصب تذكاري,1,4.9,The group of people is sitting on the ground outside a monument,Some people are sitting on the ground outside a monument
وهناك لاعب يلعب  بالكرة ,هناك رجل يركض و كرة في يديه,1,4.3,A man who is playing is running with the ball in his hands,A player is running with the ball
اثنين من القطط يقاتلون بعضهم البعض,اثنين من القطط والكذب معا,0,3.0,Two cats are lying together,Two cats are fighting each other
المرأة تضع الزيت في المقلاة,الصبي لا يعزف على البيانو,0,1.0,The boy is not playing the piano,The woman is pouring oil into the pan
شخص ما يكتب,شخص ما يكتب,0,3.7,Someone is writing,Someone is typing
رجل يركب دراجة نارية,رجل يركب دراجة نارية,1,5.0,A man is riding a motorbike,A man is riding a motorcycle
امرأة تتحدث على الهاتف,امرأة لا تتكلم على الهاتف,2,3.5,A woman is not talking on a telephone,A woman is talking on a telephone
رجل وامرأة يسيران في أحد شوارع المدينة,يسير الناس في شارع مزدحم,0,3.3,People are walking through a street which is crowded,A man and a woman are walking down a city street
رجل يقطع البطاطا إلى شرائح,رجل يأكل شرائح البطاطس,0,3.6,The man is eating potato slices,The man is slicing potatoes
يركض كلبان ويحاولان الإمساك بالكرة,كلبان على العشب يلعبان بلعبة بلاستيكية,0,4.2,Two dogs on a lawn are playing with a plastic toy,Two dogs are running and trying to catch a ball
رجل يقف على تل ترابي بجوار سيارة سوداء,أربعة شبّان يقفون بلا حراك وتنفجر سيارة خلفهم,0,2.8,Four young men are standing still and a car is exploding behind them,A man is standing on a dirt hill next to a black car
بعض القطط يأكلون,القطط وتناول الطعام على صواني,1,4.7,The kittens are eating the food on the trays,Some kittens are eating
والطفل يهتف  طفل آخر,طفل يعطس  ويخيف طفل آخر,0,3.3,A baby is sneezing and scaring another baby,A baby is cheering another baby
رجل يمشي في ساحة,رجل يرقص ,0,2.2,A man is dancing,A man is walking in a yard
راكب أمواج يرتدي بذلة سوداء يركب موجة رغوية,راكب أمواج يتصفح موجة صغيرة,0,4.1,A surfer is surfing a small wave,A surfer in a black wetsuit is riding a foamy wave
لا تتدحرج عربات التزلج على الجليد في تشكيل أسفل التل,تتدحرج عربات التزلج على الجليد في تشكيل أسفل التل,2,4.3,Rollerbladers are rolling in formation down a hill,Rollerbladers are not rolling in formation down a hill
كرة خضراء كبيرة يطرق البطاطا,كرة خضراء  تصطدم بحبة البطاطا,0,3.5,A big green ball is knocking a potato,A large green ball is missing a potato
وقالت امرأة أنها تدق الطبول,رجل يدق على الطبل,0,4.2,A man is playing the drums,A woman is playing the drums
امرأة شابة تحمل الكثير من الأوشحة الملونة على الشاطئ,رجل يرتدي الذهب والأرجواني يحمل قوس قزح أفغانيًا,0,1.5,A man in gold and purple is holding a rainbow afghan,A young woman is carrying a lot of colorful scarves on the beach
أربعة رياضيين مع امرأة في ملعب  مزدحم,أربعة رياضيين مع رجل في ملعب  مزدحم,0,3.5,Four athletes are with a man in a crowded stadium,Four athletes are with a woman in a crowded stadium
رجل يتحدث على الهاتف,رجل يجري مكالمة على الهاتف الخليوي,0,4.2,A man is making a call on a cell phone,A man is talking on the phone
امرأة تعزف على الكمان,رجل يعزف على الكمان,0,3.3,A man is playing a flute,The flute is being played by a woman
رجل يرتدي ملابس مغطاة بالطلاء ويجلس بالخارج في منطقة مزدحمة يكتب شيئًا,الرجل الجالس مشغول بكتابة شيء ما في منطقة مغطاة بالطلاء,0,3.7,A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
شخصان يخوضان في الماء,يسير شخصان بالقرب من الماء,0,3.5,Two people are walking near the water,Two people are wading through the water
يطارد كلب كرة على العشب,كلب يطارد كرة على العشب,1,4.9,A dog is chasing a ball on the grass,A ball is being chased by a dog on the grass
الدراج لا يؤدي خدعة في الهواء,رجل واحد يقوم به خدعة دراجة في الجو,0,2.9,One man is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air
رجل يرتدي سماعات رأس يفتح علبة,رجل يفتح علبة تحتوي على سماعات رأس,0,2.8,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package 
المرأة  التقاط الكنغر,المرأة تلتقط كنغرًا صغيرًا,1,4.6,The woman is picking up a kangaroo that is little,The woman is picking up the kangaroo
رجل يعزف بحماس على الغيتار,شخص يعزف على البوق ,0,2.5,A person is playing a trumpet,A man is passionately playing the guitar
قطيع من الغزلان ووقف في الشارع,قطيع من الوعول يعبرون الشارع ,0,2.8,The herd of caribous is crossing a road,A herd of deer is stopping at the street
ليس هناك قرد ركل شخص,قرد تمارس فنون الدفاع عن النفس,0,2.9,A monkey is practicing martial arts,There is no monkey kicking a person
يركض كلب ذهبي في حقل من العشب الطويل,كلب ذهبي يجلس في حقل عشب طويل,0,3.6,A golden dog is sitting in a field of tall grass,A brown dog is running through tall green grass
شخص ما يضرب عدسة الكاميرا على مسمار,شخص ما يضرب عدسة الكاميرا بمسمار,2,3.3,Someone is banging a camera lens against a nail,There is no one banging a camera lens against a nail
رجل يتمرن في الصالة الرياضية,رجل يقوم بتمارين الضغط,0,4.0,A man is doing pull-ups,The man is doing exercises in a gym
الشخص قطع  البصل,شخص  على وشك الانتهاء من تقطيع البصل,0,3.2,A person near an onion has a cut,A person is cutting an onion
كلب ذو ياقة زرقاء يلعب بالكرة بالخارج,الكلب ذو الياقة الزرقاء لا يلعب بالكرة في الخارج,2,3.95,A dog with a blue collar is not playing with the ball outside,A dog with a blue collar is playing with the ball outside
الشباب والرقص أمام بعض الناس,الأولاد يرقصون أمام بعض الناس,0,4.4,Boys are dancing in front of some people,Young men are dancing in front of some people
طفل صغير يركض على الأرض ويلعب مع فتاة صغيرة,طفل صغير يركض على الأرض ويلعب مع فتاة صغيرة,1,4.8,A little boy is running on the ground and playing with a little girl,The little boy is running on the ground and playing with a little girl
شخص يمزق الورق,شخص لا تمزق الورق,2,3.0,A person is not tearing paper,A person is tearing paper
صبي جالس على مقعد,صبي جالس على الأرض,0,3.7,A boy is sitting on the ground,A boy is sitting in a seat
طفلان يبرزان ألسنة ملونة باللونين الأزرق والأخضر,فتاتان صغيرتان ترتديان قبعات وتخرجان ألسنتهما الملونة,0,3.6,Two young girls are wearing hats and sticking their colored tongues out,Two kids are sticking out blue and green colored tongues
رجل يعد بعض الطبق,المرأة تقطع بصلة بسكين,2,3.3,The woman is not slicing an onion with a knife,The woman is slicing an onion with a knife
الولد يركب دراجة بخارية,الصبي يركب بسرعة دراجة بخارية,1,4.385,The boy is speedily riding a tricycle,The boy is riding a tricycle
يلعب الرجل مع الماء,وليس هناك رجل يقوم بعمل خدعة بطاقة,0,1.2,There is no man doing a card trick,A man is playing with water
ويجري إثارة كلب من قبل قرد في حديقة الحيوان,قرد  أغاظ الكلب في حديقة الحيوان,1,4.9,A monkey is teasing a dog at the zoo,A dog is being teased by a monkey at the zoo
 الرجل يتحدث على الهاتف,الرجل يتحدث على الهاتف,1,4.9,The man is talking on the telephone,The man is speaking on the telephone
السيدة لا تقطع اللحم,السيدة تقطع اللحم,2,4.1,The lady is slicing up the meat,The lady isn't slicing up the meat
يقفز كلب تان ويلتقط كرة تنس,كلب أحمر يقفز ويلتقط كرة تنس في فمه,0,3.9,A red dog is jumping and catching a tennis ball in its mouth,A tan dog is jumping up and catching a tennis ball
رجل وامرأة في غرفة بيج ، يرتديان قمصانًا داكنة اللون وشاشة في الخلفية,ينظر إلى الرجل بفضول من قبل امرأة,0,2.7,A man is being curiously looked at by a woman,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background"
يتم دق الطبول من قبل الرجل,رجل تتدفق نظافة في بالوعة,0,1.0,A man is pouring cleaner into the sink,The drums are being played by the man
امرأة لا قطع اللحم,امرأة قطعت اللحم,2,3.3,A woman is cutting meat,A woman is not cutting meat
المرأة تقطع الجزر إلى شرائح,المرأة تقطع البطاطا,0,3.6,A woman is cutting potatoes,A woman is slicing carrots
صبيان يرتديان القبعات ويخرجان ألسنتهما الملونة,يقوم زوج من الأطفال بإخراج ألسنة ملونة باللونين الأزرق والأخضر,0,4.0,A pair of kids are sticking out blue and green colored tongues,Two young boys are wearing hats and sticking their colored tongues out
لايوجد رجل يتحدث,رجل يتحدث,2,3.9,A man is speaking,There is no man speaking
لا يتم تقشير البطاطا من قبل امرأة,ويجري تقشير البطاطا من قبل امرأة,2,3.2,The potato is being peeled by a woman,The potato isn't being peeled by a woman
هناك شابة  تقفز على سيارة بتهور,هناك فتاة  تقفز على سيارة بتهور,1,4.4,The girl is recklessly jumping onto a car,One young lady is jumping on the car
يصعب على الكلب ، الكبير والرمادي ، حمل كرة في فمه والركض عبر العشب,يركض كلب كبير على العشب وفي فمه كرة تنس,0,4.2,A large dog is running on the grass with a tennis ball in its mouth,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass"
امرأة جالسة تغني أغنية وتعزف على الجيتار,امرأة على صخرة مستلقية على بطانية وتقرأ كتابًا,1,4.615,A woman on a boulder is lying on a blanket and reading a book,A woman on a rock is lying on a blanket and reading a book
الفتاة الصغيرة تمشط شعرها في شكل ذيل حصان.,الفتاة الصغيرة تمشط شعرها بحذر في شكل ذيل حصان,1,4.6,"The girl, who is little, is carefully combing her hair into a pony tail","The girl, who is little, is combing her hair into a pony tail."
امرأة تضع المكياج على وجهها,امرأة تضع المكياج على عينيها,1,4.5,A woman is putting on eyeshadow,A woman is putting make-up on
وقال كبير الطهاة بإعداد بعض المواد الغذائية,ليس هناك طاه إعداد وجبة,2,3.985,There is no chef preparing a meal,A chef is preparing some food
يتم خلط بعض المكونات في وعاء من قبل شخص,رجل خلط بعض المكونات في وعاء,1,4.5,A man is mixing a few ingredients in a bowl,Some ingredients are being mixed in a bowl by a person
العروس ذات الحجاب الأبيض تنظر إلى الأسفل,العروس ذات الثوب الأبيض تنظر إلى الأسفل,0,4.435,A bride with a white dress is looking down,A bride with a white veil is looking down
رجل يغلي الشعرية في الماء,امرأة يغلي الشعرية في الماء,0,4.0,A woman is boiling noodles in water,A man is boiling noodles in water
كلب أبيض مقود يمشي في الماء,كلب أسود مقيد يسير في الماء,0,3.6,A black dog on a leash is walking in the water,A white dog on a leash is walking in the water
امرأة تطبخ  ختم لحم الخنزير المقدد,المرأة تقلي فرم لحم الخنزير المقدد,1,4.7,The woman is frying a breaded pork chop,A woman is cooking a breaded pork chop
يسير العديد من المشجعين في موكب,مجموعة كبيرة من المشجعين يسيرون في موكب,1,4.8,A large group of cheerleaders is walking in a parade,Many cheerleaders are walking in a parade
الرجل المشعر يجلس على متن قطار,رجل يجلس في قطار ويضع يده على وجهه,0,3.2,A man is sitting on a train and resting his hand against his face,The hairy man is sitting on a train
فتاة شقراء تنظر إلى الأمواج,سيدة تركب الأمواج وركوب الأمواج,0,3.3,A lady is surfing and riding a wave,A blond girl is looking at the waves
رجل يأخذ النفط من خارج مقلاة,رجل يضع الزيت في مقلاة,2,3.1,A man is pouring oil into a skillet,A man is taking the oil out off a skillet
المرأة تطبخ شيء,امرأة تطبخ  البيض,1,4.2,A woman is cooking eggs,The woman is cooking something
رجل يركب الحصان,حصان يقوده رجل,1,4.7,A horse is being ridden in a creek by a man,A man is riding a horse
مجموعة الرجال لا يلعبون الرجبي في حقل موحل,مجموعة الرجال يلعبون الرجبي في حقل موحل,2,3.6,The bunch of men are playing rugby on a muddy field,The bunch of men are not playing rugby on a muddy field
لاعب كرة القدم يركل الكرة بين ساقيه شخص ما,ليس هناك شخص ركل كرة القدم بين قدميه لشخص ما,2,3.8,There is no person kicking a soccer ball between somebody's feet,The soccer player is kicking the ball between somebody's legs
المتسابقون يركضون في مضمار,بعض الرجال يجرون سباقا,0,3.8,Some men are running a race,Racers are running down a track
رجل يمشي في المطر,رجل يمشي في المطر,1,5.0,A man is strolling in the rain,A man is walking in the rain
يقوم شخص بتقليب الخضار في وعاء,صبي يمشي عبر جسر,0,1.0,A boy is walking across a bridge,A person is stirring vegetables in a bowl
ترتدي مجموعة من الكلاب التي تمت تربيتها من أجل السباق زيا مخططا وتجري في مضمار,مجموعة من كلاب السباق ترتدي زيا مخططا وتجري في مضمار,1,4.7,A group of racing dogs is wearing striped uniforms and is running down a track,A group of dogs bred for racing is wearing striped uniforms and is running down a track
راكب الدراجة الهوائية يركب في أحد شوارع المدينة,المرأة ترتدي خوذة زرقاء وركوب دراجة في موقف للسيارات,0,2.615,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is riding on a city street
قرد يضايق كلبًا في حديقة الحيوان,لا يوجد قرد يضايق كلبًا في حديقة الحيوانات,2,2.935,There is no monkey teasing a dog at the zoo,A monkey is teasing a dog at the zoo
امرأة ترقص بالقرب من النار,امرأة  لم تقطع الطماطم,0,1.1,A woman is slicing a tomato,A woman is dancing near a fire
الرجل  رفع الحدائد,الرجل  رفع الحدائد,1,4.9,The man is lifting barbells,A man is lifting barbells
أب يرمي ابنته في حمام السباحة,الاب في حمام السباحة خلال زيارته إطلاق بنات,0,3.2,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool
امرأة لا تقشر حبة بطاطس,السيدة تقشر البطاطس,2,4.2,The lady is peeling the potato,A woman is not peeling a potato
لوح تزلج يقفز من منحدر,رجل يرتدي زيًا أسود يرتدي حذاءًا مضمنًا ويؤدي خدعة على سكة حديدية,0,3.0,A man dressed in black is wearing inline skates and performing a trick on a rail,A skateboarder is jumping off a ramp
المنصة حيث يتحدث الرجل,رجل يتحدث على المنصة,1,4.8,A man is speaking on a podium,A podium is where a man is speaking
سائق سيارة سباق يقف ويشير يده إلى السماء,يقف سائق سيارة سباق ويشير يده بقوة نحو السماء,1,4.6,A race car driver is standing up and is fiercely pointing his hand at the sky,A race car driver is standing up and pointing his hand at the sky
طفل صغير جالس,صبي جالس على الأرض,0,3.3,A boy is sitting on the ground,A toddler is sitting down
ليس هناك قرد يركب الدراجة,قرد يركب دراجة,2,3.0,A monkey is riding a bike,There is no monkey riding a bike
كلب كبير أبيض وأسود يحمل عصا وهو يسبح,كلب يجلب عصا من ماء صافٍ جدًا,0,3.4,A dog is fetching a stick out of very clear water,A big black and white dog is carrying a stick and is swimming
رجل يكتب على لوحة المفاتيح الإلكترونية,هناك عزف على أدوات موسيقية,0,3.0,Some instruments are being played by a band,A man is playing an electronic keyboard
